gene	consensus_z	consensus_p	consensus_fdr	n_primary_endpoints	n_positive_endpoint_z	n_negative_endpoint_z	mean_abs_endpoint_z	direction_in_chk1i_sensitive_state	abs_consensus_z
OR51G2	-3.0585976383680187	0.002223756007553327	0.015211023709149289	3	0	3	1.765882169854529	lower_in_sensitive	3.0585976383680187
DLGAP3	-3.0585578079351263	0.002224051648691637	0.015211023709149289	3	0	3	1.7658591737433769	lower_in_sensitive	3.0585578079351263
PLXNA4	-3.0583698820150067	0.0022254470135906197	0.015215146640638434	3	0	3	1.765750674662808	lower_in_sensitive	3.0583698820150067
SERINC1	-3.0577488024662807	0.002230064287568056	0.015241286647465838	3	0	3	1.7653920942181627	lower_in_sensitive	3.0577488024662807
CSNK2A2	3.0571594812967766	0.0022344535761847184	0.015265850446830685	3	3	0	1.7650518494823106	higher_in_sensitive	3.0571594812967766
SIRPB2	3.0570305220155816	0.0022354151253642014	0.015266986686852344	3	3	0	1.764977394806598	higher_in_sensitive	3.0570305220155816
ZFAND2B	-3.0569000668572945	0.002236388213908728	0.015268200899935903	3	0	3	1.7649020764858439	lower_in_sensitive	3.0569000668572945
MORN5	-3.0565531616503128	0.002238977731126545	0.015280445958822398	3	0	3	1.7647017906712097	lower_in_sensitive	3.0565531616503128
S1PR1	3.0562864023890195	0.0022409708572824053	0.01528861354588046	3	3	0	1.7645477771398932	higher_in_sensitive	3.0562864023890195
ORC4	-3.056001843334856	0.0022430987688827455	0.015297694552401757	3	0	3	1.7643834868933714	lower_in_sensitive	3.056001843334856
PSMD13	-3.0557434957629175	0.0022450322762466455	0.015305443763985476	3	0	3	1.7642343298531682	lower_in_sensitive	3.0557434957629175
STH	-3.055152319999649	0.0022494624605330056	0.015330202455560044	3	0	3	1.763893014367107	lower_in_sensitive	3.055152319999649
YWHAH	3.0542740251109444	0.0022560590649424255	0.015369702600697192	3	3	0	1.7633859305766855	higher_in_sensitive	3.0542740251109444
